bg2010ge,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,other_tot_wt,latin_tot_wt,tot_pop_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,other_pct_wt,latin_pct_wt
260130001003,860.0,12.0,102.0,25.0,0.0,7.0,1006.0,0.855,0.012,0.101,0.025,0.0,0.007
260130001004,840.0,14.0,14.0,0.0,0.0,16.0,884.0,0.95,0.016,0.016,0.0,0.0,0.018
260130002001,1077.0,3.0,9.0,0.0,2.0,1.0,1092.0,0.986,0.003,0.008,0.0,0.002,0.001
260130002002,423.0,0.0,55.0,10.0,0.0,9.0,497.0,0.851,0.0,0.111,0.02,0.0,0.018
260130002003,1074.0,603.0,459.0,9.0,10.0,81.0,2236.0,0.48,0.27,0.205,0.004,0.004,0.036
260139901000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260150101001,1247.0,0.0,0.0,2.0,0.0,26.0,1275.0,0.978,0.0,0.0,0.002,0.0,0.02
260150101002,928.0,0.0,6.0,0.0,0.0,6.0,940.0,0.987,0.0,0.006,0.0,0.0,0.006
260150101003,1358.0,0.0,5.0,4.0,0.0,109.0,1476.0,0.92,0.0,0.003,0.003,0.0,0.074
260150101004,964.0,0.0,0.0,0.0,0.0,51.0,1015.0,0.95,0.0,0.0,0.0,0.0,0.05
260150101005,923.0,0.0,6.0,3.0,0.0,53.0,985.0,0.937,0.0,0.006,0.003,0.0,0.054
260150102001,3293.0,3.0,5.0,127.0,104.0,76.0,3608.0,0.913,0.001,0.001,0.035,0.029,0.021
260150102002,1187.0,0.0,0.0,5.0,0.0,62.0,1254.0,0.947,0.0,0.0,0.004,0.0,0.049
260150102003,1033.0,8.0,0.0,0.0,0.0,0.0,1041.0,0.992,0.008,0.0,0.0,0.0,0.0
260150103001,2177.0,1.0,0.0,1.0,0.0,3.0,2182.0,0.998,0.0,0.0,0.0,0.0,0.001
260150103002,3006.0,47.0,0.0,0.0,0.0,50.0,3103.0,0.969,0.015,0.0,0.0,0.0,0.016
260150103003,1212.0,58.0,0.0,25.0,0.0,145.0,1440.0,0.842,0.04,0.0,0.017,0.0,0.101
260150103004,1969.0,23.0,0.0,0.0,0.0,92.0,2084.0,0.945,0.011,0.0,0.0,0.0,0.044
260150104011,2530.0,14.0,59.0,0.0,0.0,120.0,2723.0,0.929,0.005,0.022,0.0,0.0,0.044
260150104012,608.0,11.0,0.0,0.0,0.0,26.0,645.0,0.943,0.017,0.0,0.0,0.0,0.04
260150104021,1543.0,28.0,0.0,16.0,0.0,169.0,1756.0,0.879,0.016,0.0,0.009,0.0,0.096
260150104022,1366.0,0.0,10.0,0.0,0.0,20.0,1396.0,0.979,0.0,0.007,0.0,0.0,0.014
260150104023,1870.0,0.0,0.0,111.0,0.0,22.0,2003.0,0.934,0.0,0.0,0.055,0.0,0.011
260150105001,1144.0,18.0,0.0,12.0,0.0,51.0,1225.0,0.934,0.015,0.0,0.01,0.0,0.042
260150105002,692.0,0.0,0.0,0.0,0.0,16.0,708.0,0.977,0.0,0.0,0.0,0.0,0.023
